Age,Favourite_healthy_food,Favourite_cheat_meal,Main_macronutrient_source,Flexibility_level,Dehydration,Compound_movements_workout,Workout_minutes_per_week,Outcome
30,Salmon,Donut,Protein,12737,no,yes,589,Strength_restored
30,Kale,Donut,Protein,501,yes,yes,994,Strength_restored
30,Kale,Donut,Protein,3929,yes,no,593,Strength_restored
30,Kale,Pizza,Protein,7773,yes,no,705,Strength_restored
30,Almond,Donut,Protein,1794,no,no,1035,Strength_restored
30,Kale,Pizza,Protein,495,yes,no,641,Strength_restored
30,Kale,Donut,Protein,455,yes,no,758,Strength_restored
30,Kale,Pizza,Good fat,2766,no,no,834,Strength_restored
30,Kale,Pizza,Good fat,3300,no,no,1571,Strength_restored
30,Kale,Donut,Protein,0,yes,no,681,Strength_restored
30,Beets,Pizza,Good fat,432,yes,no,402,Strength_restored
30,Salmon,Pizza,Protein,732,no,no,1404,Strength_restored
30,Beets,Donut,Good fat,2666,no,no,467,Strength_restored
30,Almond,Pizza,Protein,313,yes,no,1121,Strength_restored
30,Almond,Pizza,Protein,270,no,no,123,Strength_restored
30,Kale,Pizza,Protein,1599,no,no,152,Strength_restored
30,Almond,Pizza,Good fat,5561,yes,no,195,Strength_restored
30,Almond,Pizza,Protein,523,no,yes,83,Strength_restored
30,Kale,Pizza,Good fat,2539,no,no,199,Strength_restored
30,Almond,Pizza,Good fat,4808,no,no,272,Strength_restored
30,Almond,Pizza,Good fat,3473,no,no,1209,Strength_restored
30,Almond,Pizza,Good fat,201,yes,no,325,Strength_restored
30,Almond,Donut,Good fat,8089,yes,no,232,Strength_restored
30,Almond,Pizza,Good fat,311,no,no,158,Strength_restored
30,Kale,Pizza,Good fat,297,no,no,465,Strength_restored
30,Kale,Pizza,Protein,2544,no,no,108,Strength_restored
30,Kale,Pizza,Protein,1268,yes,no,105,Strength_restored
30,Kale,Pizza,Protein,3286,yes,no,743,Strength_restored
30,Almond,Pizza,Good fat,2544,no,no,152,Strength_restored
30,Beets,Donut,Good fat,330,no,no,111,Strength_restored
30,Almond,Pizza,Good fat,424,no,no,298,Strength_restored
30,Almond,Pizza,Protein,69,yes,no,997,Strength_restored
30,Kale,Pizza,Bad fat,6281,no,no,149,Strength_restored
30,Kale,Donut,Good fat,81,no,no,145,Strength_restored
30,Almond,Pizza,Good fat,398,no,no,235,Strength_restored
30,Kale,Pizza,Good fat,53,no,no,375,Strength_restored
30,Almond,Pizza,Good fat,398,no,no,554,Strength_restored
30,Kale,Pizza,Protein,4684,yes,no,268,Strength_restored
30,Almond,Pizza,Protein,270,no,no,437,Strength_restored
30,Almond,Pizza,Good fat,364,no,no,306,Strength_restored
30,Kale,Donut,Protein,776,no,no,861,Strength_restored
30,Almond,Pizza,Good fat,305,no,no,633,Strength_restored
30,Beets,Donut,Good fat,2666,no,no,781,Strength_restored
30,Almond,Pizza,Good fat,533,no,no,365,Strength_restored
30,Kale,Donut,Protein,61,yes,no,525,Strength_restored
30,Kale,Pizza,Protein,-522,yes,yes,670,Strength_restored
30,Almond,Ramen,Good fat,415,yes,yes,984,Strength_restored
30,Kale,Pizza,Protein,-271,yes,no,609,Strength_restored
30,Kale,Pizza,Good fat,228,yes,no,314,Strength_restored
30,Kale,Donut,Protein,378,yes,no,566,Strength_restored
30,Almond,Pizza,Protein,315,yes,no,884,Strength_restored
30,Kale,Pizza,Protein,140,yes,no,760,Strength_restored
30,Kale,Pizza,Protein,5909,yes,no,420,Strength_restored
30,Kale,Pizza,Protein,2145,yes,no,727,Strength_restored
30,Almond,Pizza,Protein,983,yes,no,189,Strength_restored
30,Beets,Pizza,Good fat,3343,no,no,235,Strength_restored
30,Almond,Pizza,Good fat,3340,no,no,238,Strength_restored
30,Almond,Donut,Good fat,419,yes,no,194,Strength_restored
30,Kale,Pizza,Good fat,0,yes,no,159,Strength_restored
30,Beets,Pizza,Good fat,1159,no,no,366,Strength_restored
30,Kale,Pizza,Protein,2567,no,no,813,Strength_restored
30,Kale,Pizza,Protein,930,no,no,396,Strength_restored
30,Beets,Donut,Good fat,330,no,no,264,Strength_restored
30,Beets,Donut,Good fat,2666,no,no,475,Strength_restored
30,Almond,Pizza,Good fat,533,no,no,229,Strength_restored
30,Kale,Pizza,Protein,48,no,no,161,Strength_restored
30,Almond,Pizza,Good fat,5359,no,no,145,Strength_restored
30,Almond,Donut,Good fat,7,yes,no,173,Strength_restored
30,Kale,Donut,Carbs,201,yes,no,219,Strength_restored
30,Almond,Pizza,Protein,0,no,no,316,Strength_restored
30,Almond,Pizza,Protein,2568,no,no,563,Strength_restored
30,Kale,Pizza,Protein,161,no,yes,298,Strength_restored
30,Almond,Pizza,Good fat,147,no,no,234,Strength_restored
30,Kale,Pizza,Protein,158,no,no,144,Strength_restored
30,Almond,Pizza,Good fat,536,no,no,244,Strength_restored
30,Kale,Pizza,Good fat,7529,no,no,328,Strength_restored
30,Kale,Pizza,Good fat,411,no,no,127,Strength_restored
30,Almond,Pizza,Protein,914,yes,no,524,Strength_restored
30,Almond,Donut,Good fat,944,no,no,251,Strength_restored
30,Almond,Pizza,Good fat,697,no,no,215,Strength_restored
30,Kale,Pizza,Protein,853,no,no,279,Strength_restored
30,Beets,Pizza,Protein,2424,no,no,110,Strength_restored
30,Kale,Pizza,Protein,1681,no,no,329,Strength_restored
30,Kale,Donut,Protein,2326,no,no,420,Strength_restored
30,Beets,Ramen,Protein,7105,no,no,321,Strength_restored
30,Kale,Donut,Carbs,5,no,no,282,Strength_restored
30,Kale,Donut,Good fat,2166,no,no,316,Strength_restored
30,Almond,Pizza,Protein,255,no,no,143,Strength_restored
30,Kale,Donut,Protein,2493,no,no,293,Strength_restored
30,Kale,Pizza,Bad fat,4468,no,no,204,Strength_restored
30,Kale,Pizza,Good fat,4060,no,no,179,Strength_restored
30,Almond,Donut,Good fat,1996,no,no,1133,Strength_restored
30,Almond,Pizza,Protein,4448,no,no,112,Strength_restored
30,Beets,Pizza,Protein,2424,no,no,337,Strength_restored
30,Almond,Pizza,Good fat,5359,no,no,427,Strength_restored
30,Kale,Pizza,Protein,1681,no,no,128,Strength_restored
30,Beets,Pizza,Good fat,916,no,no,92,Strength_restored
30,Almond,Donut,Good fat,102,yes,no,470,Strength_restored
30,Almond,Pizza,Good fat,3779,no,no,1093,Strength_restored
30,Almond,Pizza,Good fat,232,no,no,141,Strength_restored
30,Kale,Pizza,Good fat,7529,no,no,175,Strength_restored
30,Kale,Pizza,Protein,2046,no,no,595,Strength_restored
30,Kale,Pizza,Good fat,655,no,no,212,Strength_restored
30,Almond,Pizza,Protein,915,yes,no,370,Strength_restored
30,Almond,Pizza,Good fat,697,no,no,545,Strength_restored
30,Almond,Donut,Good fat,4328,no,no,262,Strength_restored
30,Kale,Pizza,Protein,3144,no,no,212,Strength_restored
30,Almond,Pizza,Protein,265,yes,no,681,Strength_restored
30,Kale,Pizza,Protein,1165,no,no,204,Strength_restored
30,Kale,Pizza,Protein,799,no,no,674,Strength_restored
30,Kale,Pizza,Protein,2371,no,no,661,Strength_restored
30,Almond,Pizza,Good fat,572,no,no,339,Strength_restored
30,Kale,Pizza,Good fat,0,yes,no,140,Strength_restored
30,Beets,Pizza,Good fat,251,no,no,537,Strength_restored
30,Almond,Pizza,Good fat,232,no,no,219,Strength_restored
30,Kale,Pizza,Good fat,3026,no,no,251,Strength_restored
30,Kale,Pizza,Good fat,2325,no,no,263,Strength_restored
30,Kale,Pizza,Protein,1779,no,no,233,Strength_restored
30,Almond,Pizza,Good fat,502,no,no,463,Strength_restored
30,Almond,Pizza,Good fat,985,yes,no,304,Strength_restored
30,Almond,Pizza,Good fat,697,no,no,179,Strength_restored
30,Kale,Pizza,Good fat,1788,no,no,288,Strength_restored
30,Kale,Pizza,Good fat,3291,yes,no,1218,Strength_restored
30,Beets,Pizza,Good fat,655,no,no,272,Strength_restored
30,Almond,Pizza,Good fat,297,no,no,188,Strength_restored
30,Almond,Pizza,Good fat,0,yes,no,730,Strength_restored
30,Almond,Donut,Protein,1265,yes,yes,414,Strength_restored
30,Kale,Pizza,Good fat,655,no,no,384,Strength_restored
30,Almond,Pizza,Protein,4642,yes,no,528,Strength_restored
30,Almond,Donut,Protein,0,no,no,318,Strength_restored
30,Beets,Pizza,Good fat,302,no,no,528,Strength_restored
30,Almond,Pizza,Good fat,720,no,no,1265,Strength_restored
30,Almond,Pizza,Good fat,617,no,no,192,Strength_restored
30,Kale,Pizza,Protein,-366,yes,no,516,Strength_restored
30,Almond,Pizza,Protein,1309,no,no,622,Strength_restored
30,Almond,Pizza,Good fat,5359,no,no,119,Strength_restored
30,Kale,Donut,Protein,167,yes,no,255,Strength_restored
30,Almond,Pizza,Good fat,305,no,no,227,Strength_restored
30,Kale,Donut,Protein,129,yes,no,1446,Strength_restored
30,Kale,Ramen,Protein,341,yes,no,478,Strength_restored
30,Almond,Pizza,Good fat,536,no,no,362,Strength_restored
30,Kale,Pizza,Protein,-158,yes,no,426,Strength_restored
30,Beets,Pizza,Good fat,916,no,no,449,Strength_restored
30,Almond,Donut,Good fat,1942,yes,yes,436,Strength_restored
30,Almond,Pizza,Good fat,3384,no,no,578,Strength_restored
30,Almond,Donut,Protein,396,yes,no,366,Strength_restored
30,Almond,Pizza,Good fat,4889,no,no,545,Strength_restored
30,Almond,Pizza,Good fat,502,no,yes,572,Strength_restored
30,Kale,Pizza,Protein,315,no,no,1407,Strength_restored
30,Almond,Pizza,Protein,3528,no,no,250,Strength_restored
30,Almond,Pizza,Good fat,4210,no,no,796,Strength_restored
30,Kale,Donut,Protein,278,yes,yes,1073,Strength_restored
30,Kale,Pizza,Good fat,19,no,no,139,Strength_restored
30,Almond,Pizza,Good fat,376,yes,no,710,Strength_restored
30,Almond,Donut,Protein,4457,yes,no,566,Strength_restored
30,Kale,Pizza,Carbs,253,yes,no,259,Strength_restored
30,Almond,Pizza,Good fat,1028,no,no,1294,Strength_restored
30,Kale,Pizza,Protein,48,no,no,217,Strength_restored
30,Almond,Pizza,Good fat,8535,no,no,393,Strength_restored
30,Almond,Donut,Good fat,10884,no,no,333,Strength_restored
30,Almond,Pizza,Good fat,102,yes,no,364,Strength_restored
30,Kale,Pizza,Protein,183,yes,no,610,Strength_restored
30,Kale,Ramen,Carbs,459,yes,no,494,Strength_restored
30,Kale,Donut,Protein,484,yes,no,703,Strength_restored
30,Kale,Pizza,Protein,49,no,no,808,Strength_restored
30,Kale,Donut,Protein,517,no,no,141,Strength_restored
30,Kale,Ramen,Protein,436,yes,no,1720,Strength_restored
30,Almond,Pizza,Good fat,536,no,no,309,Strength_restored
30,Kale,Pizza,Protein,2734,no,no,459,Strength_restored
30,Kale,Donut,Protein,5,no,no,840,Strength_restored
30,Almond,Pizza,Good fat,398,no,no,102,Strength_restored
30,Almond,Donut,Good fat,0,no,no,95,Loss_of_strength
30,Almond,Pizza,Good fat,596,no,no,125,Loss_of_strength
30,Salmon,Donut,Protein,-346,yes,yes,88,Loss_of_strength
30,Almond,Donut,Good fat,233,yes,no,382,Loss_of_strength
30,Kale,Pizza,Good fat,0,no,no,262,Loss_of_strength
30,Kale,Pizza,Protein,167,no,no,9,Loss_of_strength
30,Kale,Donut,Good fat,324,no,no,585,Loss_of_strength
30,Almond,Pizza,Protein,127,yes,no,16,Loss_of_strength
30,Kale,Pizza,Good fat,0,no,no,214,Loss_of_strength
30,Kale,Pizza,Protein,728,yes,no,393,Loss_of_strength
30,Kale,Pizza,Good fat,3,yes,no,174,Loss_of_strength
30,Almond,Donut,Protein,15,yes,no,257,Loss_of_strength
30,Beets,Pizza,Good fat,1159,no,no,95,Loss_of_strength
30,Kale,Pizza,Protein,281,no,no,105,Loss_of_strength
30,Almond,Ramen,Carbs,1032,yes,no,52,Loss_of_strength
30,Kale,Donut,Protein,364,yes,yes,331,Loss_of_strength
30,Kale,Pizza,Good fat,31,yes,no,23,Loss_of_strength
30,Kale,Pizza,Bad fat,138,yes,no,187,Loss_of_strength
30,Beets,Donut,Protein,221,no,no,61,Loss_of_strength
30,Kale,Pizza,Protein,103,yes,no,2053,Loss_of_strength
30,Beets,Pizza,Protein,192,no,no,423,Loss_of_strength
30,Almond,Donut,Protein,873,yes,no,119,Loss_of_strength
30,Kale,Pizza,Protein,411,yes,no,948,Loss_of_strength
30,Almond,Pizza,Good fat,265,no,no,295,Loss_of_strength
30,Almond,Donut,Good fat,882,no,no,102,Loss_of_strength
30,Almond,Pizza,Protein,523,no,yes,136,Loss_of_strength
30,Kale,Pizza,Protein,9645,no,yes,130,Loss_of_strength
30,Almond,Pizza,Protein,613,yes,no,180,Loss_of_strength
30,Kale,Pizza,Protein,426,yes,no,127,Loss_of_strength
30,Almond,Donut,Good fat,26,yes,no,62,Loss_of_strength
30,Almond,Pizza,Good fat,552,yes,no,648,Loss_of_strength
30,Kale,Donut,Protein,501,yes,yes,514,Loss_of_strength
30,Kale,Ramen,Protein,3028,yes,no,65,Loss_of_strength
30,Almond,Pizza,Good fat,3773,yes,no,99,Loss_of_strength
30,Almond,Pizza,Protein,186,yes,no,390,Loss_of_strength
30,Kale,Pizza,Carbs,185,no,no,11,Loss_of_strength
30,Almond,Donut,Good fat,4168,no,no,198,Loss_of_strength
30,Beets,Donut,Protein,142,yes,no,350,Loss_of_strength
30,Kale,Pizza,Good fat,106,yes,no,119,Loss_of_strength
30,Almond,Pizza,Protein,873,no,no,301,Loss_of_strength
30,Almond,Pizza,Good fat,1466,no,no,111,Loss_of_strength
30,Salmon,Donut,Protein,2551,yes,no,142,Loss_of_strength
30,Almond,Donut,Protein,4,no,no,7,Loss_of_strength
30,Kale,Pizza,Protein,0,yes,no,768,Loss_of_strength
30,Kale,Donut,Carbs,0,yes,no,239,Loss_of_strength
30,Beets,Donut,Good fat,0,yes,no,756,Loss_of_strength
30,Kale,Pizza,Protein,-93,yes,no,149,Loss_of_strength
30,Kale,Pizza,Protein,245,no,yes,187,Loss_of_strength
30,Kale,Pizza,Protein,54,no,no,194,Loss_of_strength
30,Kale,Pizza,Protein,4787,yes,no,266,Loss_of_strength
30,Kale,Ramen,Good fat,317,yes,no,67,Loss_of_strength
30,Kale,Donut,Protein,743,no,no,142,Loss_of_strength
30,Almond,Donut,Protein,350,no,yes,171,Loss_of_strength
30,Almond,Pizza,Good fat,6392,yes,no,335,Loss_of_strength
30,Almond,Donut,Good fat,1239,no,no,125,Loss_of_strength
30,Kale,Donut,Protein,194,yes,no,475,Loss_of_strength
30,Kale,Pizza,Protein,-100,yes,yes,292,Loss_of_strength
30,Almond,Pizza,Good fat,2876,no,no,103,Loss_of_strength
30,Kale,Pizza,Protein,19,yes,no,16,Loss_of_strength
30,Kale,Pizza,Protein,438,yes,no,98,Loss_of_strength
30,Kale,Donut,Protein,2278,no,yes,47,Loss_of_strength
30,Almond,Pizza,Protein,60,no,no,55,Loss_of_strength
30,Kale,Pizza,Protein,-754,yes,yes,974,Loss_of_strength
30,Beets,Donut,Protein,131,yes,no,306,Loss_of_strength
30,Kale,Pizza,Protein,120,yes,no,74,Loss_of_strength
30,Kale,Donut,Carbs,2607,yes,no,158,Loss_of_strength
30,Almond,Pizza,Good fat,565,yes,no,104,Loss_of_strength
30,Kale,Pizza,Protein,573,yes,no,116,Loss_of_strength
30,Kale,Pizza,Protein,151,no,no,276,Loss_of_strength
30,Kale,Pizza,Protein,522,no,no,197,Loss_of_strength
30,Almond,Pizza,Protein,2702,yes,no,129,Loss_of_strength
30,Kale,Donut,Protein,637,yes,no,69,Loss_of_strength
30,Kale,Pizza,Protein,268,no,no,86,Loss_of_strength
30,Beets,Pizza,Protein,5223,no,no,404,Loss_of_strength
30,Kale,Pizza,Protein,1649,yes,no,206,Loss_of_strength
30,Kale,Donut,Protein,4,yes,no,17,Loss_of_strength
30,Kale,Pizza,Protein,194,no,yes,60,Loss_of_strength
30,Almond,Donut,Protein,1310,no,no,3284,Loss_of_strength
30,Almond,Pizza,Good fat,349,no,no,180,Loss_of_strength
30,Kale,Donut,Good fat,606,yes,no,551,Loss_of_strength
30,Almond,Pizza,Good fat,2,no,no,269,Loss_of_strength
30,Almond,Pizza,Good fat,2708,no,no,479,Loss_of_strength
30,Almond,Donut,Good fat,-181,yes,no,621,Loss_of_strength
30,Kale,Pizza,Protein,458,no,no,51,Loss_of_strength
30,Almond,Pizza,Good fat,222,no,yes,111,Loss_of_strength
30,Almond,Donut,Good fat,14,no,no,90,Loss_of_strength
30,Salmon,Pizza,Protein,265,yes,yes,67,Loss_of_strength
30,Almond,Pizza,Good fat,222,yes,no,112,Loss_of_strength
30,Kale,Donut,Protein,1256,yes,no,123,Loss_of_strength
30,Kale,Pizza,Good fat,3086,yes,no,84,Loss_of_strength
30,Kale,Pizza,Protein,778,yes,no,22,Loss_of_strength
30,Kale,Ramen,Carbs,1,yes,no,63,Loss_of_strength
30,Beets,Pizza,Good fat,578,yes,no,142,Loss_of_strength
30,Almond,Pizza,Good fat,1675,no,no,181,Loss_of_strength
30,Kale,Pizza,Good fat,1,no,no,88,Loss_of_strength
30,Kale,Pizza,Protein,1012,yes,no,22,Loss_of_strength
30,Almond,Pizza,Good fat,162,yes,no,186,Loss_of_strength
30,Kale,Pizza,Protein,1510,yes,no,191,Loss_of_strength
30,Almond,Ramen,Protein,419,no,no,72,Loss_of_strength
30,Kale,Pizza,Carbs,2731,yes,no,314,Loss_of_strength
30,Kale,Pizza,Carbs,5746,yes,no,125,Loss_of_strength
30,Kale,Donut,Protein,418,yes,no,112,Loss_of_strength
30,Almond,Donut,Good fat,314,no,no,364,Loss_of_strength
30,Almond,Donut,Good fat,-27,yes,no,29,Loss_of_strength
30,Almond,Pizza,Good fat,168,no,no,35,Loss_of_strength
30,Kale,Pizza,Protein,175,no,no,167,Loss_of_strength
30,Kale,Donut,Protein,673,yes,no,610,Loss_of_strength
30,Almond,Pizza,Good fat,13774,no,no,380,Loss_of_strength
30,Almond,Pizza,Good fat,218,no,no,75,Loss_of_strength
30,Almond,Donut,Good fat,265,yes,no,45,Loss_of_strength
30,Almond,Pizza,Good fat,2766,yes,yes,244,Loss_of_strength
30,Kale,Donut,Protein,0,yes,no,47,Loss_of_strength
30,Almond,Pizza,Protein,186,yes,no,235,Loss_of_strength
30,Kale,Pizza,Protein,298,yes,no,164,Loss_of_strength
30,Almond,Donut,Good fat,2994,yes,no,156,Loss_of_strength
30,Beets,Pizza,Protein,0,yes,no,137,Loss_of_strength
30,Kale,Pizza,Protein,9,no,yes,194,Loss_of_strength
30,Kale,Donut,Protein,-306,yes,yes,372,Loss_of_strength
30,Kale,Pizza,Protein,0,yes,no,161,Loss_of_strength
30,Kale,Ramen,Protein,457,yes,no,115,Loss_of_strength
30,Kale,Pizza,Protein,-114,yes,no,396,Loss_of_strength
30,Kale,Pizza,Protein,80,yes,yes,145,Loss_of_strength
30,Kale,Donut,Carbs,5956,yes,yes,405,Loss_of_strength
30,Kale,Donut,Protein,271,yes,no,365,Loss_of_strength
30,Almond,Ramen,Good fat,46,no,no,382,Loss_of_strength
30,Kale,Pizza,Protein,148,yes,yes,115,Loss_of_strength
30,Almond,Pizza,Good fat,277,yes,no,166,Loss_of_strength
30,Kale,Donut,Protein,1131,yes,yes,189,Loss_of_strength
30,Kale,Pizza,Protein,1286,no,no,44,Loss_of_strength
30,Kale,Pizza,Protein,3096,yes,no,272,Loss_of_strength
30,Almond,Donut,Good fat,134,yes,no,70,Loss_of_strength
30,Kale,Pizza,Protein,-143,yes,no,85,Loss_of_strength
30,Kale,Ramen,Protein,1336,yes,no,13,Loss_of_strength
30,Kale,Donut,Protein,-529,yes,no,416,Loss_of_strength
30,Almond,Pizza,Protein,98,yes,no,100,Loss_of_strength
30,Almond,Pizza,Protein,154,yes,no,24,Loss_of_strength
30,Kale,Donut,Protein,384,no,no,73,Loss_of_strength
30,Beets,Pizza,Good fat,48,no,no,144,Loss_of_strength
30,Kale,Pizza,Protein,1824,yes,no,153,Loss_of_strength
30,Kale,Ramen,Protein,3100,yes,no,125,Loss_of_strength
30,Kale,Pizza,Protein,101,yes,no,85,Loss_of_strength
30,Almond,Pizza,Good fat,119,no,no,430,Loss_of_strength
30,Almond,Pizza,Good fat,7845,yes,no,59,Loss_of_strength
30,Almond,Pizza,Protein,585,no,yes,7,Loss_of_strength
30,Almond,Pizza,Protein,457,no,no,90,Loss_of_strength
30,Kale,Donut,Protein,-280,yes,no,609,Loss_of_strength
30,Kale,Donut,Protein,246,yes,no,166,Loss_of_strength
30,Almond,Pizza,Good fat,3773,yes,no,75,Loss_of_strength
30,Kale,Donut,Protein,1808,yes,no,83,Loss_of_strength
30,Kale,Donut,Protein,207,yes,no,72,Loss_of_strength
30,Almond,Donut,Protein,590,no,no,443,Loss_of_strength
30,Almond,Pizza,Good fat,35,no,no,185,Loss_of_strength
30,Kale,Donut,Protein,321,yes,no,738,Loss_of_strength
30,Almond,Pizza,Good fat,-218,yes,no,13,Loss_of_strength
30,Kale,Ramen,Protein,789,yes,no,356,Loss_of_strength
30,Almond,Pizza,Good fat,640,no,no,124,Loss_of_strength
30,Kale,Donut,Carbs,35,yes,no,366,Loss_of_strength
30,Kale,Donut,Protein,0,yes,no,30,Loss_of_strength
30,Kale,Donut,Good fat,141,no,no,166,Loss_of_strength
30,Almond,Pizza,Good fat,2995,yes,no,329,Loss_of_strength
30,Almond,Donut,Protein,482,no,no,86,Loss_of_strength
30,Kale,Ramen,Protein,3100,yes,no,154,Loss_of_strength
30,Almond,Pizza,Protein,135,no,no,112,Loss_of_strength
30,Kale,Pizza,Protein,148,no,no,206,Loss_of_strength
30,Almond,Donut,Good fat,1390,no,no,552,Loss_of_strength
30,Beets,Pizza,Protein,1031,no,no,7,Loss_of_strength
30,Kale,Donut,Protein,282,yes,yes,148,Loss_of_strength
30,Kale,Pizza,Protein,925,no,no,240,Loss_of_strength
30,Almond,Pizza,Protein,1299,no,no,515,Loss_of_strength
30,Kale,Pizza,Protein,486,no,no,335,Loss_of_strength
30,Almond,Donut,Good fat,0,no,no,74,Loss_of_strength
30,Almond,Donut,Protein,39,yes,no,101,Loss_of_strength
30,Beets,Pizza,Bad fat,6929,no,no,341,Loss_of_strength
30,Kale,Donut,Protein,2850,no,no,181,Loss_of_strength
30,Kale,Pizza,Protein,132,yes,no,329,Loss_of_strength
30,Kale,Pizza,Protein,1881,no,yes,29,Loss_of_strength
30,Kale,Donut,Protein,394,no,no,216,Loss_of_strength
30,Almond,Donut,Good fat,1235,yes,no,104,Loss_of_strength
30,Almond,Pizza,Good fat,136,yes,no,152,Loss_of_strength
30,Kale,Pizza,Protein,656,no,yes,523,Loss_of_strength
30,Kale,Pizza,Protein,117,no,no,135,Loss_of_strength
30,Almond,Donut,Protein,521,yes,no,648,Loss_of_strength
30,Kale,Donut,Protein,699,yes,no,544,Loss_of_strength
30,Beets,Pizza,Protein,280,no,no,92,Loss_of_strength
30,Kale,Donut,Protein,128,yes,no,273,Loss_of_strength
30,Almond,Donut,Protein,-170,yes,yes,130,Loss_of_strength
30,Almond,Pizza,Good fat,156,yes,no,174,Loss_of_strength
30,Kale,Donut,Protein,80,yes,no,185,Loss_of_strength
30,Kale,Pizza,Good fat,10,no,no,276,Loss_of_strength
30,Almond,Donut,Good fat,6432,yes,no,206,Loss_of_strength
30,Kale,Donut,Protein,177,yes,no,62,Loss_of_strength
30,Almond,Donut,Protein,46,yes,no,114,Loss_of_strength
30,Almond,Donut,Good fat,-250,yes,no,11,Loss_of_strength
30,Kale,Donut,Protein,450,no,yes,72,Loss_of_strength
30,Kale,Pizza,Protein,773,yes,yes,29,Loss_of_strength
30,Kale,Pizza,Protein,86,no,no,45,Loss_of_strength
30,Kale,Pizza,Carbs,395,no,no,429,Loss_of_strength
30,Kale,Pizza,Good fat,0,no,no,34,Loss_of_strength
30,Almond,Donut,Good fat,1195,no,no,146,Loss_of_strength
30,Almond,Pizza,Good fat,19358,no,no,258,Loss_of_strength
30,Almond,Donut,Good fat,5381,no,no,375,Loss_of_strength
30,Almond,Donut,Good fat,285,no,no,693,Loss_of_strength
30,Kale,Pizza,Protein,-390,yes,no,275,Loss_of_strength
30,Almond,Pizza,Protein,28,no,no,107,Loss_of_strength
30,Almond,Pizza,Good fat,1636,no,no,301,Loss_of_strength
30,Beets,Pizza,Good fat,3137,yes,no,368,Loss_of_strength
30,Kale,Pizza,Good fat,6619,yes,no,239,Loss_of_strength
30,Kale,Pizza,Protein,893,no,no,45,Loss_of_strength
30,Kale,Pizza,Protein,228,no,no,232,Loss_of_strength
30,Beets,Pizza,Good fat,463,no,no,374,Loss_of_strength
30,Almond,Donut,Good fat,1384,yes,no,60,Loss_of_strength
30,Almond,Donut,Good fat,-328,yes,no,242,Loss_of_strength
30,Kale,Pizza,Protein,447,no,no,426,Loss_of_strength
30,Kale,Pizza,Protein,133,yes,no,113,Loss_of_strength
30,Almond,Ramen,Protein,83,yes,yes,310,Loss_of_strength
30,Almond,Pizza,Protein,-383,yes,no,170,Loss_of_strength
30,Almond,Pizza,Good fat,2,no,no,19,Loss_of_strength
30,Kale,Pizza,Good fat,803,no,no,243,Loss_of_strength
30,Almond,Pizza,Good fat,3410,yes,no,140,Loss_of_strength
30,Kale,Ramen,Protein,0,no,no,89,Loss_of_strength
30,Almond,Pizza,Good fat,1191,no,no,381,Loss_of_strength
30,Beets,Donut,Good fat,163,yes,no,149,Loss_of_strength
30,Almond,Pizza,Good fat,199,no,yes,131,Loss_of_strength
30,Kale,Donut,Protein,292,yes,yes,651,Loss_of_strength
30,Almond,Pizza,Protein,-548,yes,yes,70,Loss_of_strength
30,Almond,Pizza,Good fat,114,no,no,65,Loss_of_strength
30,Almond,Ramen,Protein,370,yes,no,160,Loss_of_strength
30,Kale,Pizza,Protein,906,yes,yes,218,Loss_of_strength
30,Kale,Pizza,Protein,1165,yes,no,365,Loss_of_strength
30,Almond,Pizza,Good fat,726,yes,no,39,Loss_of_strength
30,Kale,Donut,Protein,1011,yes,no,109,Loss_of_strength
30,Kale,Pizza,Protein,-232,no,yes,118,Loss_of_strength
30,Kale,Donut,Protein,590,yes,no,242,Loss_of_strength
30,Kale,Pizza,Protein,971,yes,no,283,Loss_of_strength
30,Kale,Donut,Protein,631,yes,no,174,Loss_of_strength
30,Almond,Pizza,Good fat,0,no,no,124,Loss_of_strength
30,Almond,Pizza,Good fat,115,no,no,154,Loss_of_strength
30,Beets,Pizza,Good fat,2593,no,no,662,Loss_of_strength
30,Almond,Donut,Protein,23,no,yes,149,Loss_of_strength
31,Kale,Pizza,Good fat,703,yes,no,943,Strength_restored
31,Kale,Pizza,Good fat,22,yes,no,483,Strength_restored
31,Almond,Donut,Protein,307,yes,no,538,Strength_restored
31,Beets,Pizza,Good fat,144,yes,no,676,Strength_restored
31,Kale,Donut,Protein,92,yes,no,688,Strength_restored
31,Almond,Donut,Protein,97,yes,no,607,Strength_restored
31,Kale,Donut,Protein,754,yes,no,1022,Strength_restored
31,Kale,Donut,Protein,2,yes,no,182,Strength_restored
31,Almond,Pizza,Protein,431,yes,yes,1045,Strength_restored
31,Kale,Pizza,Carbs,216,yes,no,565,Strength_restored
31,Almond,Pizza,Good fat,825,yes,no,506,Strength_restored
31,Kale,Donut,Protein,2910,yes,no,1392,Strength_restored
31,Almond,Ramen,Good fat,1145,yes,no,1272,Strength_restored
31,Beets,Ramen,Carbs,0,yes,no,745,Strength_restored
31,Beets,Donut,Protein,86,yes,yes,963,Strength_restored
31,Kale,Donut,Protein,671,yes,no,704,Strength_restored
31,Kale,Pizza,Protein,726,no,no,719,Strength_restored
31,Almond,Pizza,Good fat,296,no,yes,509,Strength_restored
31,Almond,Pizza,Good fat,409,no,yes,564,Strength_restored
31,Kale,Donut,Carbs,46,yes,no,487,Strength_restored
